"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","name@es","description@es","invoice_label@es"
"tax_pa_itbms_07_sale","ITBMS 7% Sale","ITBMS 7% Venta","7%","7.0","percent","sale","tax_group_pa_itbms_07","base","invoice","","ITBMS 7% Venta","ITBMS 7% Venta","7%"
"","","","","","","","","tax","invoice","231","","",""
"","","","","","","","","base","refund","","","",""
"","","","","","","","","tax","refund","231","","",""
"tax_pa_itbms_10_sale","ITBMS 10% Sale","ITBMS 10% Venta (alcohol/tabaco/hospedaje)","10%","10.0","percent","sale","tax_group_pa_itbms_10","base","invoice","","ITBMS 10% Venta (alcohol/tabaco/hospedaje)","ITBMS 10% Venta (alcohol/tabaco/hospedaje)","10%"
"","","","","","","","","tax","invoice","231","","",""
"","","","","","","","","base","refund","","","",""
"","","","","","","","","tax","refund","231","","",""
"tax_pa_itbms_15_sale","ITBMS 15% Sale","ITBMS 15% Venta (cigarrillos)","15%","15.0","percent","sale","tax_group_pa_itbms_15","base","invoice","","ITBMS 15% Venta (cigarrillos)","ITBMS 15% Venta (cigarrillos)","15%"
"","","","","","","","","tax","invoice","231","","",""
"","","","","","","","","base","refund","","","",""
"","","","","","","","","tax","refund","231","","",""
"tax_pa_itbms_00_sale","ITBMS Exempt Sale","ITBMS Exento - Venta","0%","0.0","percent","sale","tax_group_pa_itbms_00","base","invoice","","ITBMS Exento - Venta","ITBMS Exento - Venta","0%"
"","","","","","","","","tax","invoice","","","",""
"","","","","","","","","base","refund","","","",""
"","","","","","","","","tax","refund","","","",""
"tax_pa_itbms_07_purchase","ITBMS 7% Purchase","ITBMS 7% Compra","7%","7.0","percent","purchase","tax_group_pa_itbms_07","base","invoice","","ITBMS 7% Compra","ITBMS 7% Compra","7%"
"","","","","","","","","tax","invoice","231","","",""
"","","","","","","","","base","refund","","","",""
"","","","","","","","","tax","refund","231","","",""
"tax_pa_itbms_10_purchase","ITBMS 10% Purchase","ITBMS 10% Compra (alcohol/tabaco/hospedaje)","10%","10.0","percent","purchase","tax_group_pa_itbms_10","base","invoice","","ITBMS 10% Compra (alcohol/tabaco/hospedaje)","ITBMS 10% Compra (alcohol/tabaco/hospedaje)","10%"
"","","","","","","","","tax","invoice","231","","",""
"","","","","","","","","base","refund","","","",""
"","","","","","","","","tax","refund","231","","",""
"tax_pa_itbms_15_purchase","ITBMS 15% Purchase","ITBMS 15% Compra (cigarrillos)","15%","15.0","percent","purchase","tax_group_pa_itbms_15","base","invoice","","ITBMS 15% Compra (cigarrillos)","ITBMS 15% Compra (cigarrillos)","15%"
"","","","","","","","","tax","invoice","231","","",""
"","","","","","","","","base","refund","","","",""
"","","","","","","","","tax","refund","231","","",""
"tax_pa_itbms_00_purchase","ITBMS Exempt Purchase","ITBMS Exento / No Gravado - Compra","0%","0.0","percent","purchase","tax_group_pa_itbms_00","base","invoice","","ITBMS Exento / No Gravado - Compra","ITBMS Exento / No Gravado - Compra","0%"
"","","","","","","","","tax","invoice","","","",""
"","","","","","","","","base","refund","","","",""
"","","","","","","","","tax","refund","","","",""
