"id","name","description","amount","amount_type","type_tax_use","tax_group_id","is_withholding_tax_on_payment","active","name@es","description@es"
"tax_pa_wht_itbms_a_bs_07","Retención ITBMS Estado bienes/servicios (50% de 7% = 3.5%)","Ret ITBMS Estado B/S 7%","-3.5","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS Estado bienes/servicios (50% de 7% = 3.5%)","Ret ITBMS Estado B/S 7%"
"tax_pa_wht_itbms_a_bs_10","Retención ITBMS Estado bienes/servicios (50% de 10% = 5%)","Ret ITBMS Estado B/S 10%","-5.0","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS Estado bienes/servicios (50% de 10% = 5%)","Ret ITBMS Estado B/S 10%"
"tax_pa_wht_itbms_a_bs_15","Retención ITBMS Estado bienes/servicios (50% de 15% = 7.5%)","Ret ITBMS Estado B/S 15%","-7.5","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS Estado bienes/servicios (50% de 15% = 7.5%)","Ret ITBMS Estado B/S 15%"
"tax_pa_wht_itbms_a_sp_07","Retención ITBMS Estado servicios profesionales (100% de 7% = 7%)","Ret ITBMS Estado SP 7%","-7.0","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS Estado servicios profesionales (100% de 7% = 7%)","Ret ITBMS Estado SP 7%"
"tax_pa_wht_itbms_a_sp_10","Retención ITBMS Estado servicios profesionales (100% de 10% = 10%)","Ret ITBMS Estado SP 10%","-10.0","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS Estado servicios profesionales (100% de 10% = 10%)","Ret ITBMS Estado SP 10%"
"tax_pa_wht_itbms_a_sp_15","Retención ITBMS Estado servicios profesionales (100% de 15% = 15%)","Ret ITBMS Estado SP 15%","-15.0","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS Estado servicios profesionales (100% de 15% = 15%)","Ret ITBMS Estado SP 15%"
"tax_pa_wht_itbms_b_no_domiciliado","Retención ITBMS no domiciliado (6.5421% sobre monto pagado)","Ret ITBMS No Dom","-6.5421","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS no domiciliado (6.5421% sobre monto pagado)","Ret ITBMS No Dom"
"tax_pa_wht_itbms_c_bs_07","Retención ITBMS Soc. sin personería bienes/servicios (50% de 7% = 3.5%)","Ret ITBMS SSP B/S 7%","-3.5","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS Soc. sin personería bienes/servicios (50% de 7% = 3.5%)","Ret ITBMS SSP B/S 7%"
"tax_pa_wht_itbms_c_bs_10","Retención ITBMS Soc. sin personería bienes/servicios (50% de 10% = 5%)","Ret ITBMS SSP B/S 10%","-5.0","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS Soc. sin personería bienes/servicios (50% de 10% = 5%)","Ret ITBMS SSP B/S 10%"
"tax_pa_wht_itbms_c_bs_15","Retención ITBMS Soc. sin personería bienes/servicios (50% de 15% = 7.5%)","Ret ITBMS SSP B/S 15%","-7.5","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS Soc. sin personería bienes/servicios (50% de 15% = 7.5%)","Ret ITBMS SSP B/S 15%"
"tax_pa_wht_itbms_d_07","Retención ITBMS Gran Comprador (50% de 7% = 3.5%)","Ret ITBMS GC 7%","-3.5","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS Gran Comprador (50% de 7% = 3.5%)","Ret ITBMS GC 7%"
"tax_pa_wht_itbms_d_10","Retención ITBMS Gran Comprador (50% de 10% = 5%)","Ret ITBMS GC 10%","-5.0","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS Gran Comprador (50% de 10% = 5%)","Ret ITBMS GC 10%"
"tax_pa_wht_itbms_d_15","Retención ITBMS Gran Comprador (50% de 15% = 7.5%)","Ret ITBMS GC 15%","-7.5","percent","purchase","tax_group_pa_wht_itbms","True","True","Retención ITBMS Gran Comprador (50% de 15% = 7.5%)","Ret ITBMS GC 15%"
"tax_pa_wht_itbms_e_07","Retención ITBMS Tarjeta DB/CR (50% de 7% = 3.5%)","Ret ITBMS TC/TD 7%","-3.5","percent","sale","tax_group_pa_wht_itbms","True","True","Retención ITBMS Tarjeta DB/CR (50% de 7% = 3.5%)","Ret ITBMS TC/TD 7%"
"tax_pa_wht_itbms_e_10","Retención ITBMS Tarjeta DB/CR (50% de 10% = 5%)","Ret ITBMS TC/TD 10%","-5.0","percent","sale","tax_group_pa_wht_itbms","True","True","Retención ITBMS Tarjeta DB/CR (50% de 10% = 5%)","Ret ITBMS TC/TD 10%"
"tax_pa_wht_itbms_e_15","Retención ITBMS Tarjeta DB/CR (50% de 15% = 7.5%)","Ret ITBMS TC/TD 15%","-7.5","percent","sale","tax_group_pa_wht_itbms","True","True","Retención ITBMS Tarjeta DB/CR (50% de 15% = 7.5%)","Ret ITBMS TC/TD 15%"
