id,code,name
l10n_pa_edi_cpbs_10,10,"Material Vivo Vegetal y Animal, Accesorios y Suministros"
l10n_pa_edi_cpbs_1010,1010,Animales vivos
l10n_pa_edi_cpbs_1011,1011,Productos para animales domésticos
l10n_pa_edi_cpbs_1012,1012,Comida de animales
l10n_pa_edi_cpbs_1013,1013,Recipientes y hábitat para animales
l10n_pa_edi_cpbs_1014,1014,Productos de talabartería y arreo
l10n_pa_edi_cpbs_1015,1015,"Semillas, bulbos, plántulas y esquejes"
l10n_pa_edi_cpbs_1016,1016,Productos de floricultura y silvicultura
l10n_pa_edi_cpbs_1017,1017,Fertilizantes y nutrientes para plantas y herbicidas
l10n_pa_edi_cpbs_1019,1019,Productos para el control de plagas
l10n_pa_edi_cpbs_1020,1020,Rosales vivos
l10n_pa_edi_cpbs_1021,1021,Plantas vivas de especies o variedades de flores altas
l10n_pa_edi_cpbs_1022,1022,Plantas vivas de especies o variedades de flores bajas
l10n_pa_edi_cpbs_1023,1023,Crisantemos vivos
l10n_pa_edi_cpbs_1024,1024,Claveles vivos
l10n_pa_edi_cpbs_1025,1025,Orquídeas vivas
l10n_pa_edi_cpbs_1030,1030,Rosas frescas cortadas
l10n_pa_edi_cpbs_1031,1031,Bouquets cortados frescos de especies o variedades de flores altas
l10n_pa_edi_cpbs_1032,1032,Bouquets cortados frescos de especies o variedades de flores bajas
l10n_pa_edi_cpbs_1033,1033,Crisantemos cortados frescos
l10n_pa_edi_cpbs_1034,1034,Bouquets florales cortados frescos
l10n_pa_edi_cpbs_1035,1035,Claveles cortados frescos
l10n_pa_edi_cpbs_1036,1036,Orquídeas cortadas frescas
l10n_pa_edi_cpbs_1040,1040,Rosas cortadas secas
l10n_pa_edi_cpbs_1041,1041,Bouquets cortados secos de especies o variedades de flores altas
l10n_pa_edi_cpbs_1042,1042,Bouquets cortados secos de especies o variedades de flores bajas
l10n_pa_edi_cpbs_1043,1043,Crisantemos cortados secos
l10n_pa_edi_cpbs_1044,1044,Claveles cortados secos
l10n_pa_edi_cpbs_1045,1045,Orquídeas cortadas secas
l10n_pa_edi_cpbs_1050,1050,Follaje cortado fresco
l10n_pa_edi_cpbs_11,11,"Material Mineral, Textil y Vegetal y Animal No Comestible"
l10n_pa_edi_cpbs_1110,1110,"Minerales, minerales metálicos y metales"
l10n_pa_edi_cpbs_1111,1111,Tierra y piedra
l10n_pa_edi_cpbs_1112,1112,Productos no comestibles de planta y silvicultura
l10n_pa_edi_cpbs_1113,1113,Productos animales no comestibles
l10n_pa_edi_cpbs_1114,1114,Chatarra y materiales de desecho
l10n_pa_edi_cpbs_1115,1115,"Fibra, hilos e hilados"
l10n_pa_edi_cpbs_1116,1116,Tejidos y materiales de cuero
l10n_pa_edi_cpbs_1117,1117,Aleaciones
l10n_pa_edi_cpbs_1118,1118,Óxido metálico
l10n_pa_edi_cpbs_1119,1119,Desechos metálicos y chatarra
l10n_pa_edi_cpbs_12,12,Material Químico incluyendo Bioquímicos y Materiales de Gas
l10n_pa_edi_cpbs_1213,1213,Materiales explosivos
l10n_pa_edi_cpbs_1214,1214,Elementos y gases
l10n_pa_edi_cpbs_1216,1216,Aditivos
l10n_pa_edi_cpbs_1217,1217,Colorantes
l10n_pa_edi_cpbs_1218,1218,Ceras y aceites
l10n_pa_edi_cpbs_1219,1219,Solventes
l10n_pa_edi_cpbs_1235,1235,Compuestos y mezclas
l10n_pa_edi_cpbs_13,13,"Materiales de Resina, Colofonia, Caucho, Espuma, Película y Elastómericos"
l10n_pa_edi_cpbs_1310,1310,Caucho y elastómeros
l10n_pa_edi_cpbs_1311,1311,Resinas y colofonias y otros materiales derivados de resina
l10n_pa_edi_cpbs_14,14,Materiales y Productos de Papel 1400 - Materiales y Productos de Papel
l10n_pa_edi_cpbs_1410,1410,Materiales de papel
