id,code,province,district,township
l10n_pa_edi_location_1_1_1,1-1-1,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO (CABECERA)
l10n_pa_edi_location_1_1_2,1-1-2,BOCAS DEL TORO,BOCAS DEL TORO,BASTIMENTOS
l10n_pa_edi_location_1_1_3,1-1-3,BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO
l10n_pa_edi_location_1_1_4,1-1-4,BOCAS DEL TORO,BOCAS DEL TORO,PUNTA LAUREL
l10n_pa_edi_location_1_1_5,1-1-5,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA
l10n_pa_edi_location_1_2_1,1-2-1,BOCAS DEL TORO,CHANGUINOLA,CHANGUINOLA (CABECERA)
l10n_pa_edi_location_1_2_2,1-2-2,BOCAS DEL TORO,CHANGUINOLA,ALMIRANTE
l10n_pa_edi_location_1_2_3,1-2-3,BOCAS DEL TORO,CHANGUINOLA,GUABITO
l10n_pa_edi_location_1_2_4,1-2-4,BOCAS DEL TORO,CHANGUINOLA,TERIBE
l10n_pa_edi_location_1_2_5,1-2-5,BOCAS DEL TORO,CHANGUINOLA,VALLE DEL RISCO
l10n_pa_edi_location_1_2_6,1-2-6,BOCAS DEL TORO,CHANGUINOLA,EL EMPALME
l10n_pa_edi_location_1_2_7,1-2-7,BOCAS DEL TORO,CHANGUINOLA,LAS TABLAS
l10n_pa_edi_location_1_3_1,1-3-1,BOCAS DEL TORO,CHIRIQUI GRANDE,CHIRIQUI GRANDE (CABECERA)
l10n_pa_edi_location_1_3_2,1-3-2,BOCAS DEL TORO,CHIRIQUI GRANDE,MIRAMAR
l10n_pa_edi_location_1_3_3,1-3-3,BOCAS DEL TORO,CHIRIQUI GRANDE,PUNTA PEÑA
l10n_pa_edi_location_1_3_4,1-3-4,BOCAS DEL TORO,CHIRIQUI GRANDE,PUNTA ROBALO
l10n_pa_edi_location_1_3_5,1-3-5,BOCAS DEL TORO,CHIRIQUI GRANDE,RAMBALA
l10n_pa_edi_location_2_1_1,2-1-1,COCLE,AGUADULCE,AGUADULCE (CABECERA)
l10n_pa_edi_location_2_1_2,2-1-2,COCLE,AGUADULCE,EL CRISTO
l10n_pa_edi_location_2_1_3,2-1-3,COCLE,AGUADULCE,EL ROBLE
l10n_pa_edi_location_2_1_4,2-1-4,COCLE,AGUADULCE,POCRI
l10n_pa_edi_location_2_1_5,2-1-5,COCLE,AGUADULCE,BARRIOS UNIDOS
l10n_pa_edi_location_2_2_1,2-2-1,COCLE,ANTON,ANTON (CABECERA)
l10n_pa_edi_location_2_2_2,2-2-2,COCLE,ANTON,CABUYA
l10n_pa_edi_location_2_2_3,2-2-3,COCLE,ANTON,EL CHIRU
l10n_pa_edi_location_2_2_4,2-2-4,COCLE,ANTON,EL RETIRO
l10n_pa_edi_location_2_2_5,2-2-5,COCLE,ANTON,EL VALLE
l10n_pa_edi_location_2_2_6,2-2-6,COCLE,ANTON,JUAN DIAZ
l10n_pa_edi_location_2_2_7,2-2-7,COCLE,ANTON,RIO HATO
l10n_pa_edi_location_2_2_8,2-2-8,COCLE,ANTON,SAN JUAN DE DIOS
l10n_pa_edi_location_2_2_9,2-2-9,COCLE,ANTON,SANTA RITA
l10n_pa_edi_location_2_2_10,2-2-10,COCLE,ANTON,CABALLERO
l10n_pa_edi_location_2_3_1,2-3-1,COCLE,LA PINTADA,LA PINTADA (CABECERA)
l10n_pa_edi_location_2_3_2,2-3-2,COCLE,LA PINTADA,EL HARINO
l10n_pa_edi_location_2_3_3,2-3-3,COCLE,LA PINTADA,EL POTRERO
l10n_pa_edi_location_2_3_4,2-3-4,COCLE,LA PINTADA,LLANO GRANDE
l10n_pa_edi_location_2_3_5,2-3-5,COCLE,LA PINTADA,PIEDRAS GORDAS
l10n_pa_edi_location_2_3_6,2-3-6,COCLE,LA PINTADA,LAS LOMAS
